#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
W_L_2;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_3;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_4;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_6;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_7;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_8;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_9;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_10;https://forums.massivecraft.com/threads/house-Óltorskr.108659/;;;;;;;;;;;;x
W_L_11;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_12;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_13;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_15;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_16;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_19;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_20;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_21;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_23;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_25;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_26;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_28;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_29;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
W_L_30;https://forums.massivecraft.com/threads/house-ravenstad.38657/;;;;;;;;;;;;x
