###########Cultures###########
ailor_group;Ailor;;;;;;;;;;;;;x
anglian;Anglian;;;;;;;;;;;;;x
etosian;Etosian;;;;;;;;;;;;;x
ithanian;Ithanian;;;;;;;;;;;;;x
velheim;Velheim;;;;;;;;;;;;;x
wirtem;Wirtem;;;;;;;;;;;;;x
solvaan;Solvaan;;;;;;;;;;;;;x
cantaluna;Cantaluna;;;;;;;;;;;;;x
ania;Ania;;;;;;;;;;;;;x
gallovian;Gallovian;;;;;;;;;;;;;x
wruclav;Wruclav;;;;;;;;;;;;;x
dunbrae;Dunbrae;;;;;;;;;;;;;x
krainivaya;Krainivaya;;;;;;;;;;;;;x
cearden;Cearden;;;;;;;;;;;;;x
azzizzari;Azzizzari;;;;;;;;;;;;;x
tarkin;Tarkin;;;;;;;;;;;;;x
aontaithe;Aos Sinnedh;;;;;;;;;;;;;x
zvorun;Zvorun;;;;;;;;;;;;;x
hoglander;Hoglander;;;;;;;;;;;;;x
calderliga;Meerlander;;;;;;;;;;;;;x
tsalqvanes;Tsaiqvanes;;;;;;;;;;;;;x
leutz_vixe;Leutz-Vixe;;;;;;;;;;;;;x
fridurfolk;Fridurfolk;;;;;;;;;;;;;x
tierravera;Tierravera;;;;;;;;;;;;;x
byala;Byala;;;;;;;;;;;;;x
breizh;Breizh;;;;;;;;;;;;;x
burdigala;Burdigala;;;;;;;;;;;;;x
szabadok;Szabadok;;;;;;;;;;;;;x
bragacao;Bragacao;;;;;;;;;;;;;x
dvala;Dvala;;;;;;;;;;;;;x
genevaud;Genevaud;;;;;;;;;;;;;x
sihai;Sihai;;;;;;;;;;;;;x
allar_group;Allar;;;;;;;;;;;;;x
allar;Allar;;;;;;;;;;;;;x
asha_group;Asha;;;;;;;;;;;;;x
asha;Asha;;;;;;;;;;;;;x
bralona_group;Bralona;;;;;;;;;;;;;x
bralona;Bralona;;;;;;;;;;;;;x
dragonkin_group;Dragonkin;;;;;;;;;;;;;x
dragonkin;Dragonkin;;;;;;;;;;;;;x
dwarven_group;Dwarven;;;;;;;;;;;;;x
dwarven;Dwarven;;;;;;;;;;;;;x
elven_group;Elven;;;;;;;;;;;;;x
suvial;Suvial;;;;;;;;;;;;;x
finul;Finul;;;;;;;;;;;;;x
selvath;Selvath;;;;;;;;;;;;;x
yanar;Yanar;;;;;;;;;;;;;x
llasada;Llasada;;;;;;;;;;;;;x
kathar;Kathar;;;;;;;;;;;;;x
isldar;Isldar;;;;;;;;;;;;;x
sihndar;Sihndar;;;;;;;;;;;;;x
eronidas_group;Eronidas;;;;;;;;;;;;;x
eronidas;Eronidas;;;;;;;;;;;;;x
maraya_group;Maraya;;;;;;;;;;;;;x
maraya;Maraya;;;;;;;;;;;;;x
narim_group;Narim;;;;;;;;;;;;;x
narim;Narim;;;;;;;;;;;;;x
orion_group;Orion;;;;;;;;;;;;;x
orion;Orion;;;;;;;;;;;;;x
skyborn_group;Skyborn;;;;;;;;;;;;;x
skyborn;Skyborn;;;;;;;;;;;;;x
url_group;Urlan;;;;;;;;;;;;;x
url;Urlan;;;;;;;;;;;;;x
