regalia;Regalia;;;;;;;;;;;;;
regalia_adj;Regalia;;;;;;;;;;;;;
regalia_desc;Regalia;;;;;;;;;;;;;
e_regalia;Regalia;;;;;;;;;;;;;
e_regalia_adj;Regalian;;;;;;;;;;;;;
e_regalia_desc;Regalia;;;;;;;;;;;;;
k_regalia;Regalia;;;;;;;;;;;;;
k_regalia_adj;Regalian;;;;;;;;;;;;;
k_regalia_desc;Regalia;;;;;;;;;;;;;
d_regalia;Regalia;;;;;;;;;;;;;
d_regalia_adj;Regalian;;;;;;;;;;;;;
d_regalia_desc;Regalia;;;;;;;;;;;;;
c_regalia;Regalia;;;;;;;;;;;;;
c_regalia_adj;Regalian;;;;;;;;;;;;;
c_regalia_desc;Regalia;;;;;;;;;;;;;
k_kyntir;Kintyr;;;;;;;;;;;;;
k_kyntir_adj;Kintyr;;;;;;;;;;;;;
k_kyntir_desc;Kintyr;;;;;;;;;;;;;
PROV1;Regalia;;;;;;;;;;;;;
PROV1_adj;Regalia;;;;;;;;;;;;;
PROV1_desc;Regalia;;;;;;;;;;;;;
b_regalia;Regalia;;;;;;;;;;;;;
b_regalia_adj;Regalia;;;;;;;;;;;;;
b_regalia_desc;Regalia;;;;;;;;;;;;;
b_regalia2;Regalia2;;;;;;;;;;;;;
b_regalia2_adj;Regalia2;;;;;;;;;;;;;
b_regalia2_desc;Regalia2;;;;;;;;;;;;;
kroonstaat;Kroonstaat;;;;;;;;;;;;;
kroonstaat_adj;Kroonstaat;;;;;;;;;;;;;
kroonstaat_desc;Kroonstaat;;;;;;;;;;;;;
e_kroonstaat;Kroonstaat;;;;;;;;;;;;;
e_kroonstaat_adj;Kroonstaat;;;;;;;;;;;;;
e_kroonstaat_desc;Kroonstaat;;;;;;;;;;;;;
verreland;Verreland;;;;;;;;;;;;;
verreland_adj;Verreland;;;;;;;;;;;;;
verreland_desc;Verreland;;;;;;;;;;;;;
k_verreland;Verreland;;;;;;;;;;;;;
k_verreland_adj;Verreland;;;;;;;;;;;;;
k_verreland_desc;Verreland;;;;;;;;;;;;;
ruisterbroek;Ruisterbroek;;;;;;;;;;;;;
ruisterbroek_adj;Ruisterbroek;;;;;;;;;;;;;
ruisterbroek_desc;Ruisterbroek;;;;;;;;;;;;;
d_ruisterbroek;Ruisterbroek;;;;;;;;;;;;;
d_ruisterbroek_adj;Ruisterbroek;;;;;;;;;;;;;
d_ruisterbroek_desc;Ruisterbroek;;;;;;;;;;;;;
de_paaj;De Paaj;;;;;;;;;;;;;
de_paaj_adj;De Paaj;;;;;;;;;;;;;
de_paaj_desc;De Paaj;;;;;;;;;;;;;
c_de_paaj;De Paaj;;;;;;;;;;;;;
c_de_paaj_adj;De Paaj;;;;;;;;;;;;;
c_de_paaj_desc;De Paaj;;;;;;;;;;;;;
PROV2;De Paaj;;;;;;;;;;;;;
PROV2_adj;De Paaj;;;;;;;;;;;;;
PROV2_desc;De Paaj;;;;;;;;;;;;;
b_de_paaj;De Paaj;;;;;;;;;;;;;
b_de_paaj_adj;De Paaj;;;;;;;;;;;;;
b_de_paaj_desc;De Paaj;;;;;;;;;;;;;
b_de_paaj2;De Paaj2;;;;;;;;;;;;;
b_de_paaj2_adj;De Paaj2;;;;;;;;;;;;;
b_de_paaj2_desc;De Paaj2;;;;;;;;;;;;;
oostmuur;Oostmuur;;;;;;;;;;;;;
oostmuur_adj;Oostmuur;;;;;;;;;;;;;
oostmuur_desc;Oostmuur;;;;;;;;;;;;;
c_oostmuur;Oostmuur;;;;;;;;;;;;;
c_oostmuur_adj;Oostmuur;;;;;;;;;;;;;
c_oostmuur_desc;Oostmuur;;;;;;;;;;;;;
PROV3;Oostmuur;;;;;;;;;;;;;
PROV3_adj;Oostmuur;;;;;;;;;;;;;
PROV3_desc;Oostmuur;;;;;;;;;;;;;
